group,team,p_1st,p_2nd,p_3rd,p_4th,p_advance
A,Mexico,0.529,0.282,0.123,0.065,0.812
A,South Korea,0.274,0.347,0.24,0.139,0.621
A,South Africa,0.104,0.198,0.324,0.375,0.301
A,Czechia,0.093,0.173,0.313,0.421,0.266
B,Switzerland,0.604,0.283,0.084,0.029,0.887
B,Canada,0.286,0.408,0.202,0.104,0.694
B,Bosnia and Herzegovina,0.056,0.159,0.367,0.418,0.214
B,Qatar,0.054,0.15,0.347,0.448,0.204
C,Brazil,0.644,0.246,0.089,0.021,0.89
C,Morocco,0.257,0.453,0.211,0.079,0.71
C,Scotland,0.072,0.207,0.474,0.246,0.28
C,Haiti,0.026,0.093,0.226,0.654,0.12
D,United States,0.488,0.267,0.149,0.096,0.755
D,Australia,0.234,0.311,0.255,0.2,0.545
D,Turkey,0.168,0.235,0.319,0.279,0.403
D,Paraguay,0.111,0.186,0.278,0.425,0.297
E,Germany,0.578,0.274,0.115,0.034,0.852
E,Ecuador,0.244,0.383,0.28,0.093,0.627
E,Ivory Coast,0.157,0.297,0.428,0.117,0.455
E,Cuba,0.021,0.045,0.177,0.755,0.067
F,Portugal,0.658,0.216,0.097,0.029,0.875
F,Croatia,0.202,0.357,0.271,0.171,0.558
F,Algeria,0.081,0.246,0.353,0.32,0.327
F,Indonesia,0.059,0.18,0.28,0.48,0.24
G,Belgium,0.555,0.27,0.13,0.044,0.826
G,Colombia,0.266,0.364,0.262,0.108,0.629
G,Egypt,0.146,0.274,0.368,0.212,0.42
G,Venezuela,0.033,0.092,0.24,0.635,0.125
H,Spain,0.597,0.246,0.119,0.037,0.844
H,Senegal,0.235,0.403,0.246,0.117,0.637
H,Japan,0.141,0.261,0.4,0.199,0.402
H,Chile,0.028,0.09,0.234,0.648,0.117
I,France,0.604,0.255,0.105,0.036,0.859
I,Nigeria,0.241,0.384,0.246,0.129,0.625
I,Slovakia,0.094,0.21,0.364,0.332,0.304
I,Bolivia,0.061,0.151,0.284,0.503,0.212
J,Argentina,0.663,0.231,0.078,0.029,0.893
J,Jordan,0.197,0.385,0.254,0.165,0.581
J,New Zealand,0.086,0.217,0.381,0.316,0.303
J,Kenya,0.054,0.168,0.287,0.491,0.222
K,Netherlands,0.625,0.223,0.117,0.036,0.847
K,Iran,0.217,0.365,0.253,0.165,0.583
K,Ghana,0.096,0.222,0.345,0.338,0.318
K,Costa Rica,0.062,0.191,0.286,0.462,0.253
L,England,0.697,0.206,0.072,0.025,0.903
L,Saudi Arabia,0.164,0.386,0.293,0.158,0.549
L,Honduras,0.095,0.272,0.368,0.266,0.366
L,Panama,0.045,0.137,0.267,0.551,0.181
