iter	Accuracy	MultiClass
0	0.5770588235	1.082571772
1	0.5800980392	1.068128678
2	0.58	1.055071847
3	0.5801960784	1.043662543
4	0.5791176471	1.033061314
5	0.5793137255	1.023796813
6	0.5797058824	1.014890647
7	0.5799019608	1.007052849
8	0.5797058824	1.000117038
9	0.5795098039	0.9938031716
10	0.5796078431	0.9875664102
11	0.5798039216	0.9823272773
12	0.5796078431	0.9774847022
13	0.5804901961	0.9731678228
14	0.5801960784	0.9690875139
15	0.5802941176	0.9653061388
16	0.5806862745	0.9616851377
17	0.5802941176	0.958592891
18	0.5805882353	0.9555723448
19	0.5802941176	0.9526853289
20	0.5803921569	0.9500390079
21	0.5803921569	0.9476925321
22	0.5804901961	0.9455435032
23	0.5806862745	0.9434708834
24	0.5808823529	0.9416933539
25	0.5807843137	0.9398999146
26	0.5809803922	0.9382800788
27	0.5810784314	0.9367014061
28	0.5809803922	0.9356140194
29	0.5810784314	0.9343818858
30	0.581372549	0.9332440253
31	0.5812745098	0.9321838145
32	0.5809803922	0.931082552
33	0.5807843137	0.9300367974
34	0.5804901961	0.9289198244
35	0.5812745098	0.9281710168
36	0.5807843137	0.9271898487
37	0.5810784314	0.9264615016
38	0.5811764706	0.925725397
39	0.5808823529	0.9249939557
40	0.581372549	0.9242179573
41	0.5812745098	0.9233316202
42	0.5809803922	0.9228047348
43	0.5812745098	0.9221916471
44	0.5808823529	0.9216250992
45	0.5809803922	0.9210478146
46	0.5812745098	0.9204243582
47	0.5816666667	0.9200495562
48	0.5814705882	0.9196472064
49	0.5810784314	0.9192058636
50	0.5812745098	0.9188392709
51	0.5816666667	0.9184430948
52	0.5815686275	0.9180066815
53	0.5817647059	0.9176437581
54	0.5821568627	0.9171921155
55	0.5821568627	0.9167137611
56	0.582745098	0.9163867168
57	0.5828431373	0.9160139406
58	0.5828431373	0.9157231805
59	0.582745098	0.9154549814
60	0.5828431373	0.9150919261
61	0.582745098	0.9147436486
62	0.582745098	0.9145533768
63	0.5826470588	0.9144079429
64	0.5828431373	0.9141269401
65	0.582745098	0.9137706185
66	0.5830392157	0.9135142533
67	0.5834313725	0.9131307296
68	0.5835294118	0.9127441286
69	0.583627451	0.9124011913
70	0.5839215686	0.9121631667
71	0.5839215686	0.9119146194
72	0.5841176471	0.9115508271
73	0.5841176471	0.9114186281
74	0.5841176471	0.9110883203
75	0.5846078431	0.9108129933
76	0.5846078431	0.9105924334
77	0.5842156863	0.9104046457
78	0.5847058824	0.9100999129
79	0.5847058824	0.9098551914
80	0.5851960784	0.9095504359
81	0.5858823529	0.9091698459
82	0.5861764706	0.9089986307
83	0.5858823529	0.9089226986
84	0.5862745098	0.90861834
85	0.5862745098	0.9084390891
86	0.5866666667	0.9082020695
87	0.5865686275	0.9079965179
88	0.5865686275	0.9077936689
89	0.5862745098	0.9076348787
90	0.586372549	0.9073552187
91	0.5861764706	0.9071866139
92	0.5859803922	0.9070499858
93	0.586372549	0.9068028812
94	0.5868627451	0.9065360193
95	0.5867647059	0.9063856386
96	0.5868627451	0.9061215714
97	0.5869607843	0.9060200668
98	0.5869607843	0.9058794797
99	0.5869607843	0.9056238898
100	0.5871568627	0.9053937999
101	0.5870588235	0.905077417
102	0.587254902	0.9048478084
103	0.5869607843	0.9047327024
104	0.587254902	0.9044512127
105	0.5871568627	0.9043551973
106	0.5873529412	0.9042265876
107	0.587254902	0.9040087613
108	0.587254902	0.9037970281
109	0.587745098	0.9035962155
110	0.5878431373	0.9034314905
111	0.5875490196	0.9032228683
112	0.5879411765	0.9030668215
113	0.5880392157	0.9028655225
114	0.587745098	0.902628636
115	0.5876470588	0.9023987984
116	0.587745098	0.9022210838
117	0.5882352941	0.902047985
118	0.5887254902	0.9018722151
119	0.5891176471	0.901656785
120	0.5892156863	0.9014979573
121	0.5890196078	0.9012552894
122	0.5894117647	0.9011346582
123	0.5891176471	0.9009722313
124	0.5896078431	0.9008545015
125	0.5899019608	0.9007213751
126	0.5897058824	0.9004106842
127	0.5897058824	0.9001885423
128	0.5898039216	0.899965301
129	0.5896078431	0.8998476583
130	0.5902941176	0.8995980159
131	0.5904901961	0.899451079
132	0.5906862745	0.8993929832
133	0.5903921569	0.8992024676
134	0.5904901961	0.8990637685
135	0.5904901961	0.8988781058
136	0.5904901961	0.898749021
137	0.5904901961	0.8985977802
138	0.5903921569	0.8983775663
139	0.5904901961	0.8982684904
140	0.5904901961	0.8980815487
141	0.5905882353	0.8978816166
142	0.5906862745	0.8977064837
143	0.5905882353	0.8975423996
144	0.5908823529	0.8974143193
145	0.5912745098	0.897189378
146	0.5910784314	0.8969639671
147	0.5906862745	0.8967542981
148	0.5904901961	0.8966202989
