date,home_team,away_team,home_score,away_score,tournament,neutral,home_elo,away_elo,venue_altitude_m,home_travel_km,away_travel_km,home_rest_days,away_rest_days
2000-01-01 03:00:04.199882151,England,Belgium,0,3,Friendly,False,1875.7,1827.9,50,489.0,2073.0,14,14
2000-01-03 23:39:26.980437645,DR Congo,Paraguay,2,1,Friendly,False,1389.8,1608.5,50,395.0,7753.0,14,14
2000-01-04 23:01:01.307585983,Scotland,Switzerland,2,4,Friendly,False,1459.7,1651.9,50,383.0,10825.0,14,14
2000-01-05 06:26:55.645537588,Canada,Curaçao,2,1,Friendly,False,1595.0,1249.6,50,274.0,8590.0,14,14
2000-01-05 22:13:25.933227424,South Korea,Trinidad and Tobago,2,0,Friendly,False,1698.4,1224.4,50,484.0,11543.0,14,14
2000-01-06 09:28:44.150269777,Iraq,Jordan,1,1,Friendly,False,1501.1,1500.1,50,73.0,3322.0,14,14
2000-01-06 10:08:45.738630887,Canada,Nigeria,0,1,Friendly,False,1518.7,1640.3,50,345.0,9146.0,1,14
2000-01-07 02:23:00.896697751,Saudi Arabia,Netherlands,1,1,Friendly,False,1472.6,1872.7,50,301.0,6198.0,14,14
2000-01-08 19:56:00.510331728,Ghana,United States,1,1,Friendly,False,1534.3,1844.4,50,72.0,6653.0,14,14
2000-01-09 19:03:48.342650865,Portugal,Chile,1,1,Friendly,False,1922.3,1402.7,50,115.0,3389.0,14,14
2000-01-10 09:37:24.872876754,Honduras,Uzbekistan,0,2,Friendly,False,1282.6,1625.0,50,293.0,1010.0,14,14
2000-01-10 10:11:11.497180330,Ghana,Qatar,1,2,Friendly,False,1443.8,1236.7,50,29.0,6826.0,1,14
2000-01-10 20:36:00.619771811,Australia,Qatar,1,0,Friendly,False,1645.3,1233.7,50,317.0,2724.0,14,0
2000-01-10 23:44:55.515849746,Paraguay,Uruguay,0,2,Friendly,False,1604.2,1764.5,50,135.0,1729.0,7,14
2000-01-11 03:16:46.374759155,Tunisia,England,1,2,Friendly,False,1560.5,1975.6,50,75.0,4762.0,14,10
2000-01-11 08:53:17.174687959,Canada,Saudi Arabia,1,0,Friendly,False,1547.5,1521.7,50,153.0,11319.0,4,4
2000-01-12 17:01:11.563370118,Nigeria,Colombia,3,3,Friendly,False,1713.1,1841.2,50,375.0,7625.0,6,14
2000-01-13 02:17:30.716026670,Japan,Cuba,6,0,Friendly,False,1781.1,1218.7,50,225.0,2060.0,14,14
2000-01-13 05:59:00.604945107,Jordan,Croatia,0,1,Friendly,False,1478.3,1784.8,50,71.0,7395.0,6,14
2000-01-15 22:02:55.556460285,Switzerland,Norway,1,1,Friendly,False,1701.5,1694.7,50,478.0,4121.0,10,14
2000-01-16 11:40:36.113652280,Germany,Trinidad and Tobago,0,0,Friendly,False,1857.7,1099.2,50,431.0,11873.0,14,10
2000-01-16 18:28:54.918903879,Norway,Honduras,1,0,Friendly,False,1745.5,1314.9,50,266.0,2127.0,0,6
2000-01-17 09:03:11.968531703,Morocco,Sweden,1,3,Friendly,False,1774.9,1755.8,50,155.0,6978.0,14,14
2000-01-18 19:17:07.186941036,Indonesia,Haiti,0,1,Friendly,False,1379.4,1208.6,50,488.0,3937.0,14,14
2000-01-19 07:47:17.315396035,Austria,Germany,0,0,Friendly,False,1717.9,1870.4,50,272.0,645.0,14,2
2000-01-22 05:24:43.569902930,Senegal,Brazil,0,1,Friendly,False,1761.8,1822.7,50,240.0,1565.0,14,14
2000-01-22 10:44:20.750122131,South Africa,Czechia,3,0,Friendly,False,1452.0,1419.1,50,245.0,3400.0,14,14
2000-01-22 22:10:42.627391922,New Zealand,Curaçao,0,0,Friendly,False,1439.7,1226.3,50,308.0,10966.0,14,17
2000-01-23 20:49:32.190459644,DR Congo,Uzbekistan,1,2,Friendly,False,1395.0,1581.7,50,355.0,7433.0,19,13
2000-01-23 21:34:01.632968666,Nigeria,Uruguay,1,1,Friendly,False,1596.7,1742.7,50,361.0,4473.0,11,12
2000-01-24 03:55:18.341335476,Czechia,Germany,2,1,Friendly,False,1441.9,1858.1,50,400.0,6928.0,1,4
2000-01-24 12:43:49.274540400,Spain,Belgium,2,0,Friendly,False,1950.1,1758.0,50,116.0,6789.0,14,23
2000-01-25 11:40:32.319605877,Cuba,Canada,1,1,Friendly,False,1253.7,1562.9,50,333.0,10125.0,12,14
2000-01-26 16:59:54.599303760,Scotland,Panama,1,0,Friendly,False,1511.5,1266.1,50,428.0,7281.0,21,14
2000-01-27 06:56:48.121795643,Indonesia,Ecuador,2,1,Friendly,False,1353.0,1733.0,50,93.0,3148.0,8,14
2000-01-28 06:22:59.821508161,Haiti,Saudi Arabia,1,0,Friendly,False,1205.1,1512.1,50,1.0,2760.0,9,16
2000-01-29 17:51:47.162307282,Iran,Indonesia,2,0,Friendly,False,1621.0,1371.0,50,0.0,4628.0,14,2
2000-01-30 01:38:16.954606513,South Korea,Slovakia,1,2,Friendly,False,1720.6,1504.0,50,357.0,11754.0,24,14
2000-01-31 11:02:43.936498259,Colombia,Slovakia,4,1,Friendly,False,1753.1,1552.6,50,196.0,3590.0,18,1
2000-02-01 21:03:14.769020661,Honduras,Canada,0,0,Friendly,False,1225.8,1585.6,50,288.0,10739.0,16,7
2000-02-01 22:16:42.532594195,Croatia,Mexico,1,1,Friendly,False,1804.5,1759.8,50,169.0,11047.0,19,14
2000-02-03 01:32:39.607503931,South Africa,Cabo Verde,1,3,Friendly,False,1445.3,1507.7,50,394.0,2848.0,11,14
2000-02-03 04:31:12.629080743,Jordan,Bolivia,1,0,Friendly,False,1518.9,1405.2,50,243.0,5305.0,20,14
2000-02-04 08:09:23.945281920,Iran,Qatar,2,0,Friendly,False,1618.5,1252.6,50,477.0,11405.0,5,24
2000-02-04 14:28:52.713222173,Haiti,Germany,0,3,Friendly,False,1262.3,1827.0,50,271.0,2264.0,7,11
2000-02-05 09:03:29.494519534,Costa Rica,Tunisia,2,0,FIFA World Cup,True,1342.5,1566.9,863,8881.0,11469.0,14,25
2000-02-05 12:54:51.805658816,Senegal,Sweden,2,1,FIFA World Cup,True,1695.7,1669.2,724,5702.0,9975.0,14,19
2000-02-06 16:35:39.268336810,Kenya,Honduras,1,0,FIFA World Cup,True,1282.3,1264.6,856,4194.0,7320.0,14,4
2000-02-06 23:29:29.532644418,Senegal,South Africa,1,0,FIFA World Cup,True,1732.4,1446.2,676,2364.0,11382.0,1,3
2000-02-07 10:28:24.072701909,Uruguay,Canada,2,0,FIFA World Cup,True,1789.4,1502.8,1163,11320.0,1463.0,14,5
2000-02-07 10:44:14.448459611,Kenya,Netherlands,0,2,FIFA World Cup,True,1329.8,1818.8,935,7726.0,5133.0,0,31
2000-02-07 11:18:00.266535848,Honduras,Qatar,1,0,FIFA World Cup,True,1357.9,1288.9,987,2382.0,838.0,0,3
2000-02-08 00:20:12.240092861,Qatar,Saudi Arabia,0,0,FIFA World Cup,True,1238.9,1497.7,736,718.0,3926.0,0,10
2000-02-08 01:20:56.936929258,Belgium,Spain,2,0,FIFA World Cup qualification,False,1911.8,1926.8,50,233.0,6825.0,14,14
2000-02-10 00:05:46.230437637,Germany,Netherlands,0,1,FIFA World Cup qualification,False,1799.9,1857.6,50,359.0,6786.0,5,2
2000-02-10 03:06:19.749053468,Peru,Qatar,3,1,FIFA World Cup qualification,False,1495.1,1284.3,50,19.0,7051.0,14,2
2000-02-10 16:04:10.828158382,Scotland,England,0,2,FIFA World Cup qualification,False,1461.8,1878.8,50,199.0,894.0,14,30
2000-02-10 21:18:12.591959930,Qatar,Honduras,0,1,FIFA World Cup qualification,False,1258.5,1327.1,50,253.0,10729.0,0,3
2000-02-11 10:29:12.471682951,Bolivia,Morocco,0,1,FIFA World Cup qualification,False,1396.8,1777.6,50,179.0,11549.0,8,25
2000-02-11 18:59:15.739824507,Japan,United States,0,0,FIFA World Cup qualification,False,1757.9,1774.2,50,311.0,8809.0,29,33
2000-02-12 05:57:01.980140832,Uzbekistan,Canada,1,0,FIFA World Cup qualification,False,1552.9,1609.7,50,430.0,8469.0,19,4
2000-02-12 06:04:03.560723907,Indonesia,Bolivia,0,1,FIFA World Cup qualification,False,1389.4,1459.3,50,381.0,5058.0,13,0
2000-02-12 17:35:47.307293131,Kenya,Honduras,2,1,FIFA World Cup qualification,False,1309.0,1269.1,50,229.0,11297.0,5,1
2000-02-13 20:38:33.833723048,Tunisia,Uzbekistan,0,1,FIFA World Cup qualification,False,1499.7,1605.4,50,96.0,9018.0,8,1
2000-02-15 00:34:56.676675826,Qatar,Ghana,0,2,FIFA World Cup qualification,False,1367.4,1552.0,50,379.0,7652.0,4,35
2000-02-15 02:53:45.971265003,Sweden,Cabo Verde,0,0,FIFA World Cup qualification,False,1706.4,1468.5,50,498.0,8887.0,9,12
2000-02-16 03:00:24.151654889,South Korea,Chile,1,0,FIFA World Cup qualification,False,1673.7,1371.8,50,160.0,11523.0,17,37
