date,team,elo
2000-01-01,Argentina,1988.1
2000-02-01,Argentina,1978.4
2000-03-01,Argentina,1998.2
2000-04-01,Argentina,1995.3
2000-05-01,Argentina,1995.7
2000-06-01,Argentina,1989.7
2000-07-01,Argentina,1977.2
2000-08-01,Argentina,1974.7
2000-09-01,Argentina,1994.6
2000-10-01,Argentina,1981.1
2000-11-01,Argentina,1973.8
2000-12-01,Argentina,1965.4
2001-01-01,Argentina,1997.4
2001-02-01,Argentina,1997.8
2001-03-01,Argentina,2006.6
2001-04-01,Argentina,1990.6
2001-05-01,Argentina,1989.7
2001-06-01,Argentina,1972.7
2001-07-01,Argentina,1997.4
2001-08-01,Argentina,1987.3
2001-09-01,Argentina,1988.5
2001-10-01,Argentina,1982.3
2001-11-01,Argentina,1988.2
2001-12-01,Argentina,1991.5
2002-01-01,Argentina,1989.9
2002-02-01,Argentina,1981.4
2002-03-01,Argentina,1999.3
2002-04-01,Argentina,1996.5
2002-05-01,Argentina,1990.4
2002-06-01,Argentina,2004.0
2002-07-01,Argentina,1990.7
2002-08-01,Argentina,1994.3
2002-09-01,Argentina,1975.0
2002-10-01,Argentina,1986.2
2002-11-01,Argentina,1996.0
2002-12-01,Argentina,1990.5
2003-01-01,Argentina,2001.3
2003-02-01,Argentina,1979.2
2003-03-01,Argentina,2001.6
2003-04-01,Argentina,1995.3
2003-05-01,Argentina,2007.6
2003-06-01,Argentina,1995.6
2003-07-01,Argentina,2001.4
2003-08-01,Argentina,2001.2
2003-09-01,Argentina,2004.1
2003-10-01,Argentina,1999.1
2003-11-01,Argentina,1996.7
2003-12-01,Argentina,1995.0
2004-01-01,Argentina,2008.9
2004-02-01,Argentina,1997.9
2004-03-01,Argentina,1995.9
2004-04-01,Argentina,2006.4
2004-05-01,Argentina,2009.5
2004-06-01,Argentina,2012.9
2004-07-01,Argentina,2013.7
2004-08-01,Argentina,2001.9
2004-09-01,Argentina,2005.6
2004-10-01,Argentina,2017.4
2004-11-01,Argentina,2008.7
2004-12-01,Argentina,2013.4
2005-01-01,Argentina,2012.1
2005-02-01,Argentina,1998.1
2005-03-01,Argentina,2002.4
2005-04-01,Argentina,1991.5
2005-05-01,Argentina,2002.5
2005-06-01,Argentina,1999.7
2005-07-01,Argentina,1999.0
2005-08-01,Argentina,2002.5
2005-09-01,Argentina,1997.5
2005-10-01,Argentina,1994.8
2005-11-01,Argentina,2012.4
2005-12-01,Argentina,1999.5
2006-01-01,Argentina,2006.0
2006-02-01,Argentina,2018.0
2006-03-01,Argentina,2002.0
2006-04-01,Argentina,2014.2
2006-05-01,Argentina,1998.0
2006-06-01,Argentina,2009.1
2006-07-01,Argentina,2013.2
2006-08-01,Argentina,2003.3
