rank_date,country_full,rank,total_points
2000-01-01,France,5,2024.4
2000-01-01,Spain,2,1959.8
2000-01-01,Argentina,5,1937.8
2000-01-01,England,6,1977.0
2000-01-01,Portugal,1,1976.9
2000-01-01,Brazil,10,1985.2
2000-01-01,Netherlands,10,1987.4
2000-01-01,Morocco,10,1927.5
2000-01-01,Belgium,11,1952.6
2000-01-01,Germany,11,1900.8
2000-01-01,Croatia,9,1918.8
2000-01-01,Austria,8,1877.4
2000-01-01,Colombia,13,1878.7
2000-01-01,Senegal,18,1866.5
2000-01-01,Mexico,14,1944.8
2000-01-01,United States,20,1857.5
2000-01-01,Uruguay,21,1881.6
2000-01-01,Japan,22,1833.3
2000-01-01,Switzerland,23,1822.3
2000-01-01,Norway,22,1898.0
2000-01-01,Iran,17,1809.1
2000-01-01,Turkey,18,1860.1
2000-01-01,Ecuador,25,1863.9
2000-01-01,Sweden,25,1781.5
2000-01-01,South Korea,26,1765.1
2000-01-01,Nigeria,29,1807.9
2000-01-01,Australia,26,1782.5
2000-01-01,Ivory Coast,28,1814.5
2000-01-01,Algeria,24,1828.9
2000-01-01,Egypt,33,1790.5
2000-01-01,Canada,33,1749.6
2000-01-01,Tunisia,34,1755.7
2000-01-01,Paraguay,32,1714.2
2000-01-01,Peru,31,1717.6
2000-01-01,Ghana,37,1766.1
2000-01-01,Saudi Arabia,34,1659.4
2000-01-01,Cabo Verde,35,1686.4
2000-01-01,Slovakia,40,1686.4
2000-01-01,Scotland,34,1688.8
2000-01-01,Jordan,37,1722.3
2000-01-01,Czechia,40,1662.1
2000-01-01,South Africa,40,1692.7
2000-01-01,Venezuela,45,1687.9
2000-01-01,Chile,47,1590.3
2000-01-01,Bolivia,44,1687.0
2000-01-01,Indonesia,42,1578.6
2000-01-01,New Zealand,46,1622.5
2000-01-01,Costa Rica,43,1687.0
2000-01-01,Curaçao,45,1641.6
2000-01-01,Honduras,50,1650.7
2000-01-01,DR Congo,47,1632.8
2000-01-01,Kenya,45,1585.1
2000-01-01,Panama,52,1587.6
2000-01-01,Bosnia and Herzegovina,50,1585.0
2000-01-01,Qatar,50,1609.9
2000-01-01,Haiti,50,1621.8
2000-01-01,Cuba,58,1567.3
2000-01-01,Iraq,59,1479.3
2000-01-01,Trinidad and Tobago,54,1572.6
2000-01-01,Uzbekistan,64,1519.0
2000-02-01,France,4,1985.5
2000-02-01,Spain,1,1959.8
2000-02-01,Argentina,1,1969.7
2000-02-01,England,5,1936.5
2000-02-01,Portugal,4,1919.3
2000-02-01,Brazil,10,1966.0
2000-02-01,Netherlands,6,1953.4
2000-02-01,Morocco,10,1956.7
2000-02-01,Belgium,11,1929.7
2000-02-01,Germany,10,1921.6
2000-02-01,Croatia,15,1901.7
2000-02-01,Austria,13,1938.9
2000-02-01,Colombia,17,1909.2
2000-02-01,Senegal,13,1879.5
2000-02-01,Mexico,17,1856.0
2000-02-01,United States,13,1937.6
2000-02-01,Uruguay,18,1855.4
2000-02-01,Japan,19,1862.9
2000-02-01,Switzerland,18,1863.2
2000-02-01,Norway,17,1841.1
2000-02-01,Iran,20,1749.5
2000-02-01,Turkey,20,1804.8
2000-02-01,Ecuador,25,1773.9
2000-02-01,Sweden,26,1821.4
2000-02-01,South Korea,28,1857.6
2000-02-01,Nigeria,27,1820.8
2000-02-01,Australia,25,1803.4
2000-02-01,Ivory Coast,32,1763.8
2000-02-01,Algeria,27,1778.2
2000-02-01,Egypt,33,1786.8
2000-02-01,Canada,34,1788.7
2000-02-01,Tunisia,27,1763.5
2000-02-01,Paraguay,31,1722.0
2000-02-01,Peru,29,1743.6
2000-02-01,Ghana,35,1750.6
2000-02-01,Saudi Arabia,36,1723.7
2000-02-01,Cabo Verde,33,1701.6
2000-02-01,Slovakia,34,1704.3
2000-02-01,Scotland,36,1723.6
2000-02-01,Jordan,35,1635.9
2000-02-01,Czechia,43,1685.6
2000-02-01,South Africa,44,1641.9
2000-02-01,Venezuela,38,1686.3
2000-02-01,Chile,47,1642.0
2000-02-01,Bolivia,46,1630.9
2000-02-01,Indonesia,43,1620.1
2000-02-01,New Zealand,47,1596.2
2000-02-01,Costa Rica,50,1642.1
2000-02-01,Curaçao,47,1619.1
2000-02-01,Honduras,49,1576.9
2000-02-01,DR Congo,44,1617.2
2000-02-01,Kenya,45,1613.2
2000-02-01,Panama,47,1600.1
2000-02-01,Bosnia and Herzegovina,52,1564.8
2000-02-01,Qatar,52,1542.2
2000-02-01,Haiti,53,1521.7
2000-02-01,Cuba,52,1548.3
2000-02-01,Iraq,52,1603.0
2000-02-01,Trinidad and Tobago,52,1568.3
2000-02-01,Uzbekistan,63,1547.5
2000-03-01,France,1,2056.4
2000-03-01,Spain,1,1956.2
2000-03-01,Argentina,1,1932.7
2000-03-01,England,7,1974.9
2000-03-01,Portugal,4,1977.3
2000-03-01,Brazil,2,1954.7
2000-03-01,Netherlands,6,1908.0
2000-03-01,Morocco,6,1938.1
2000-03-01,Belgium,13,1924.4
