team,season,confederation,xg_per_game,xga_per_game,possession_pct,squad_avg_age,squad_market_value_meur,avg_caps,fifa_rank,elo_rating
Argentina,2025-26,CONMEBOL,1.72,0.7,59.3,27.0,398.8,56.5,3,2085
France,2025-26,UEFA,1.86,0.66,56.3,28.1,404.4,52.1,1,2070
Spain,2025-26,UEFA,1.77,0.61,57.3,28.9,409.4,57.6,2,2055
England,2025-26,UEFA,1.7,0.84,58.4,25.9,368.2,52.5,4,2020
Brazil,2025-26,CONMEBOL,1.61,0.75,57.3,27.2,340.8,55.2,6,2000
Portugal,2025-26,UEFA,1.7,0.72,55.5,26.8,357.2,56.6,5,1985
Netherlands,2025-26,UEFA,1.46,0.83,58.4,27.9,324.1,56.3,7,1975
Germany,2025-26,UEFA,1.48,0.83,59.8,26.1,298.6,52.1,10,1960
Belgium,2025-26,UEFA,1.42,0.83,58.4,26.8,323.4,54.6,9,1940
Morocco,2025-26,CAF,1.25,1.12,57.3,26.1,292.5,49.3,8,1920
Croatia,2025-26,UEFA,1.25,1.06,54.6,26.5,290.8,50.6,11,1905
Colombia,2025-26,CONMEBOL,1.26,1.04,55.2,23.9,287.5,40.8,13,1890
Uruguay,2025-26,CONMEBOL,1.19,1.01,53.7,24.2,259.3,52.0,17,1880
Japan,2025-26,AFC,1.41,1.0,55.5,26.9,246.7,45.1,18,1865
Mexico,2025-26,CONCACAF,1.31,1.09,56.0,27.3,258.7,41.7,15,1855
United States,2025-26,CONCACAF,1.32,1.07,50.7,26.1,214.4,41.2,16,1840
Senegal,2025-26,CAF,1.1,1.1,55.5,26.0,209.5,55.7,14,1825
Switzerland,2025-26,UEFA,1.24,1.04,54.1,26.1,220.5,46.1,19,1810
Ecuador,2025-26,CONMEBOL,1.16,1.15,56.7,27.6,186.3,40.2,23,1795
South Korea,2025-26,AFC,1.12,1.13,53.6,25.4,189.6,50.9,25,1780
Australia,2025-26,AFC,1.15,1.12,56.6,27.7,170.5,46.3,27,1760
Turkey,2025-26,UEFA,1.15,1.1,52.5,24.6,188.4,42.6,22,1745
Nigeria,2025-26,CAF,1.14,1.13,55.2,26.4,168.1,40.3,26,1730
Iran,2025-26,AFC,1.01,1.21,53.2,25.9,178.9,47.6,21,1720
Canada,2025-26,CONCACAF,1.14,1.13,54.8,27.6,162.4,52.2,30,1700
Egypt,2025-26,CAF,1.03,1.21,54.8,29.6,145.4,48.8,29,1690
Paraguay,2025-26,CONMEBOL,1.03,1.14,55.5,28.1,158.3,38.8,32,1675
Peru,2025-26,CONMEBOL,1.07,1.23,51.3,27.8,128.5,51.6,33,1660
Ivory Coast,2025-26,CAF,1.06,1.09,54.1,29.2,106.9,38.3,28,1645
Ghana,2025-26,CAF,0.99,1.21,52.0,24.5,137.3,46.2,35,1630
Saudi Arabia,2025-26,AFC,1.03,1.19,52.9,26.5,97.8,37.5,36,1615
Slovakia,2025-26,UEFA,1.07,1.14,52.1,26.4,88.9,44.0,37,1600
Scotland,2025-26,UEFA,1.01,1.16,51.9,29.3,100.1,50.8,38,1590
Jordan,2025-26,AFC,0.91,1.29,51.2,26.6,87.5,43.9,39,1570
Czechia,2025-26,UEFA,1.07,1.21,52.6,25.9,108.8,33.3,40,1560
South Africa,2025-26,CAF,0.91,1.27,50.1,24.8,100.6,37.0,41,1540
Venezuela,2025-26,CONMEBOL,0.92,1.27,50.0,25.9,88.5,42.5,42,1515
Chile,2025-26,CONMEBOL,1.1,1.11,47.3,26.7,57.8,39.9,43,1510
Bolivia,2025-26,CONMEBOL,0.84,1.3,52.9,26.0,87.4,40.5,44,1490
Indonesia,2025-26,AFC,0.8,1.34,47.1,27.2,66.9,42.8,45,1470
New Zealand,2025-26,OFC,0.81,1.37,51.0,27.5,70.4,41.8,46,1450
Costa Rica,2025-26,CONCACAF,0.83,1.26,49.8,26.8,71.7,38.5,47,1435
Honduras,2025-26,CONCACAF,0.81,1.32,49.4,26.5,55.4,47.8,48,1420
Kenya,2025-26,CAF,0.83,1.33,45.9,26.4,58.0,39.3,49,1400
Panama,2025-26,CONCACAF,0.76,1.3,46.9,25.9,26.9,32.7,50,1390
Curaçao,2025-26,CONCACAF,0.79,1.31,47.3,27.6,46.3,29.2,47,1335
Tunisia,2025-26,CAF,0.96,1.31,53.2,25.4,133.5,45.5,31,1645
Cabo Verde,2025-26,CAF,0.95,1.31,47.4,26.1,81.7,38.9,36,1520
Sweden,2025-26,UEFA,0.99,1.08,52.5,27.0,234.6,48.2,24,1825
Iraq,2025-26,AFC,0.98,1.22,52.3,27.1,105.1,50.7,55,1565
Austria,2025-26,UEFA,1.26,1.01,60.5,27.9,261.5,54.6,12,1860
DR Congo,2025-26,CAF,0.88,1.23,51.4,27.0,66.4,36.9,48,1495
Uzbekistan,2025-26,AFC,1.1,1.27,53.1,30.0,129.1,39.4,63,1680
Norway,2025-26,UEFA,1.33,1.05,53.3,27.1,268.3,42.7,20,1875
Bosnia and Herzegovina,2025-26,UEFA,1.0,1.22,50.8,24.7,43.6,24.6,51,1380
Qatar,2025-26,AFC,0.79,1.36,48.6,25.8,42.1,38.1,52,1360
Haiti,2025-26,CONCACAF,0.82,1.32,48.3,27.8,47.5,34.4,53,1340
Cuba,2025-26,CONCACAF,0.76,1.37,46.0,25.3,17.5,35.8,54,1310
Trinidad and Tobago,2025-26,CONCACAF,0.76,1.43,52.9,27.1,24.8,35.3,55,1290
Algeria,2025-26,CAF,0.9,1.28,50.6,27.0,67.9,39.8,28,1530
