Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,PSH,PSD,PSA
2000-02-05 09:03:29.494519534,Costa Rica,Tunisia,2,0,4.92,4.08,2.02,4.82,3.98,2.01
2000-02-05 12:54:51.805658816,Senegal,Sweden,2,1,1.97,4.08,5.25,1.97,4.06,5.21
2000-02-06 16:35:39.268336810,Kenya,Honduras,1,0,2.02,4.08,4.94,1.97,3.97,5.02
2000-02-06 23:29:29.532644418,Senegal,South Africa,1,0,1.26,4.08,21.2,1.29,4.01,20.84
2000-02-07 10:28:24.072701909,Uruguay,Canada,2,0,1.26,4.08,21.2,1.27,4.04,21.02
2000-02-07 10:44:14.448459611,Kenya,Netherlands,0,2,18.75,4.08,1.55,18.38,4.12,1.6
2000-02-07 11:18:00.266535848,Honduras,Qatar,1,0,1.77,4.08,7.47,1.72,4.14,7.26
2000-02-08 00:20:12.240092861,Qatar,Saudi Arabia,0,0,5.76,4.08,1.91,5.78,3.99,1.94
2000-04-26 09:22:27.020089830,Japan,Croatia,0,1,3.23,4.08,2.58,3.31,4.11,2.64
2000-04-26 19:49:52.769122133,Iran,Ivory Coast,1,1,1.73,4.08,8.35,1.75,4.02,8.54
2000-04-27 03:27:40.401474567,South Africa,South Korea,1,1,4.44,4.08,2.12,4.42,4.02,2.12
2000-04-27 17:22:28.704956036,Chile,Mexico,0,4,9.18,4.08,1.7,9.35,4.2,1.68
2000-04-28 08:58:25.462893655,Egypt,Switzerland,1,3,4.83,4.08,2.04,4.84,4.2,2.04
2000-04-28 09:56:06.224331383,Ghana,New Zealand,1,0,1.4,4.08,21.2,1.36,4.12,21.5
2000-04-28 13:05:47.264432617,Sweden,Belgium,1,2,2.83,4.08,2.9,2.89,4.17,2.91
2000-04-29 00:49:27.935627394,Norway,Colombia,1,0,2.06,4.08,4.68,2.09,4.02,4.54
2000-07-21 09:31:27.495281048,Honduras,Chile,2,0,3.3,4.08,2.53,3.23,4.18,2.58
2000-07-24 05:28:46.030968606,Japan,Cabo Verde,1,2,1.23,4.08,21.2,1.2,4.07,21.64
2000-07-24 14:46:36.592684791,Trinidad and Tobago,Saudi Arabia,2,1,9.31,4.08,1.69,9.05,4.16,1.72
2000-07-25 06:51:44.815625465,Panama,South Korea,0,1,21.2,4.08,1.51,21.12,4.13,1.53
2000-07-25 23:31:06.640360778,Switzerland,Curaçao,2,0,1.17,4.08,21.2,1.18,4.0,21.23
2000-07-26 01:23:45.871049823,Uruguay,Brazil,2,0,2.93,4.08,2.8,2.85,4.12,2.84
2000-07-26 07:27:41.333929458,Spain,Sweden,2,0,1.25,4.08,21.2,1.24,4.02,21.31
2000-07-27 16:34:22.934546870,New Zealand,Canada,0,0,9.02,4.08,1.7,9.19,4.1,1.67
2000-10-06 06:33:57.874433706,Australia,Senegal,0,1,3.09,4.08,2.67,3.07,3.99,2.6
2000-10-08 03:37:10.637642952,Uruguay,Cabo Verde,1,0,1.2,4.08,21.2,1.17,4.18,21.21
2000-10-08 09:13:31.229628418,Egypt,Haiti,3,0,1.18,4.08,21.2,1.17,4.03,20.7
2000-10-09 04:40:18.454024467,Indonesia,Japan,0,2,9.13,4.08,1.7,9.13,4.18,1.69
2000-10-10 06:51:24.280528908,Czechia,Panama,3,1,1.44,4.08,21.2,1.44,3.96,20.69
