date,home_team,away_team,home_score,away_score,tournament,neutral,home_elo,away_elo,venue_altitude_m,home_travel_km,away_travel_km,home_rest_days,away_rest_days,tournament_weight,is_world_cup,is_knockout,is_neutral,outcome,outcome_int,home_form_5,home_gf_5,home_ga_5,away_form_5,away_gf_5,away_ga_5,home_h2h_wr_5,away_h2h_wr_5,home_form_10,home_gf_10,home_ga_10,away_form_10,away_gf_10,away_ga_10,home_h2h_wr_10,away_h2h_wr_10,home_elo_pre,away_elo_pre,elo_diff,elo_home_win_prob,home_fifa_rank,away_fifa_rank,fifa_rank_diff,mkt_home_prob,mkt_draw_prob,mkt_away_prob,home_xg_per_game,away_xg_per_game,diff_xg_per_game,home_xga_per_game,away_xga_per_game,diff_xga_per_game,home_possession_pct,away_possession_pct,home_squad_avg_age,away_squad_avg_age,home_squad_market_value_meur,away_squad_market_value_meur,diff_squad_market_value_meur,home_avg_caps,away_avg_caps,diff_avg_caps,year
2000-01-01 03:00:04.199882151,England,Belgium,0,3,Friendly,False,1875.7,1827.9,50,489.0,2073.0,14,14,1,0,0,0,A,2,0.5,1.2,1.2,0.5,1.2,1.2,0.33,0.33,0.5,1.2,1.2,0.5,1.2,1.2,0.33,0.33,1875.7,1827.9,47.799999999999955,0.5683589709363459,6,11,5,0.5111229220413707,0.2579050770888828,0.2291307337044784,1.7,1.42,0.28,0.84,0.83,0.010000000000000009,58.4,58.4,25.9,26.8,368.2,323.4,44.80000000000001,52.5,54.6,-2.1000000000000014,2000
2000-01-03 23:39:26.980437645,DR Congo,Paraguay,2,1,Friendly,False,1389.8,1608.5,50,395.0,7753.0,14,14,1,0,0,0,H,0,0.5,1.2,1.2,0.5,1.2,1.2,0.33,0.33,0.5,1.2,1.2,0.5,1.2,1.2,0.33,0.33,1389.8,1608.5,-218.70000000000005,0.22115669494973259,47,32,-15,0.5111229220413707,0.2579050770888828,0.2291307337044784,0.88,1.03,-0.15000000000000002,1.23,1.14,0.09000000000000008,51.4,55.5,27.0,28.1,66.4,158.3,-91.9,36.9,38.8,-1.8999999999999986,2000
2000-01-04 23:01:01.307585983,Scotland,Switzerland,2,4,Friendly,False,1459.7,1651.9,50,383.0,10825.0,14,14,1,0,0,0,A,2,0.5,1.2,1.2,0.5,1.2,1.2,0.33,0.33,0.5,1.2,1.2,0.5,1.2,1.2,0.33,0.33,1459.7,1651.9,-192.20000000000005,0.24854411738311918,34,23,-11,0.5111229220413707,0.2579050770888828,0.2291307337044784,1.01,1.24,-0.22999999999999998,1.16,1.04,0.11999999999999988,51.9,54.1,29.3,26.1,100.1,220.5,-120.4,50.8,46.1,4.699999999999996,2000
2000-01-05 06:26:55.645537588,Canada,Curaçao,2,1,Friendly,False,1595.0,1249.6,50,274.0,8590.0,14,14,1,0,0,0,H,0,0.5,1.2,1.2,0.5,1.2,1.2,0.33,0.33,0.5,1.2,1.2,0.5,1.2,1.2,0.33,0.33,1595.0,1249.6,345.4000000000001,0.8795612869869722,33,45,12,0.5111229220413707,0.2579050770888828,0.2291307337044784,1.14,0.79,0.34999999999999987,1.13,1.31,-0.18000000000000016,54.8,47.3,27.6,27.6,162.4,46.3,116.10000000000001,52.2,29.2,23.000000000000004,2000
2000-01-05 22:13:25.933227424,South Korea,Trinidad and Tobago,2,0,Friendly,False,1698.4,1224.4,50,484.0,11543.0,14,14,1,0,0,0,H,0,0.5,1.2,1.2,0.5,1.2,1.2,0.33,0.33,0.5,1.2,1.2,0.5,1.2,1.2,0.33,0.33,1698.4,1224.4,474.0,0.9386912091783989,26,54,28,0.5111229220413707,0.2579050770888828,0.2291307337044784,1.12,0.76,0.3600000000000001,1.13,1.43,-0.30000000000000004,53.6,52.9,25.4,27.1,189.6,24.8,164.79999999999998,50.9,35.3,15.600000000000001,2000
2000-01-06 09:28:44.150269777,Iraq,Jordan,1,1,Friendly,False,1501.1,1500.1,50,73.0,3322.0,14,14,1,0,0,0,D,1,0.5,1.2,1.2,0.5,1.2,1.2,0.33,0.33,0.5,1.2,1.2,0.5,1.2,1.2,0.33,0.33,1501.1,1500.1,1.0,0.5014391117091528,59,37,-22,0.5111229220413707,0.2579050770888828,0.2291307337044784,0.98,0.91,0.06999999999999995,1.22,1.29,-0.07000000000000006,52.3,51.2,27.1,26.6,105.1,87.5,17.599999999999994,50.7,43.9,6.800000000000004,2000
2000-01-06 10:08:45.738630887,Canada,Nigeria,0,1,Friendly,False,1518.7,1640.3,50,345.0,9146.0,1,14,1,0,0,0,A,2,1.0,2.0,1.0,0.5,1.2,1.2,0.33,0.33,1.0,2.0,1.0,0.5,1.2,1.2,0.33,0.33,1518.7,1640.3,-121.59999999999991,0.3318153610257017,33,29,-4,0.5111229220413707,0.2579050770888828,0.2291307337044784,1.14,1.14,0.0,1.13,1.13,0.0,54.8,55.2,27.6,26.4,162.4,168.1,-5.699999999999989,52.2,40.3,11.900000000000006,2000
2000-01-07 02:23:00.896697751,Saudi Arabia,Netherlands,1,1,Friendly,False,1472.6,1872.7,50,301.0,6198.0,14,14,1,0,0,0,D,1,0.5,1.2,1.2,0.5,1.2,1.2,0.33,0.33,0.5,1.2,1.2,0.5,1.2,1.2,0.33,0.33,1472.6,1872.7,-400.10000000000014,0.0908615280388941,34,10,-24,0.5111229220413707,0.2579050770888828,0.2291307337044784,1.03,1.46,-0.42999999999999994,1.19,0.83,0.36,52.9,58.4,26.5,27.9,97.8,324.1,-226.3,37.5,56.3,-18.799999999999997,2000
2000-01-08 19:56:00.510331728,Ghana,United States,1,1,Friendly,False,1534.3,1844.4,50,72.0,6653.0,14,14,1,0,0,0,D,1,0.5,1.2,1.2,0.5,1.2,1.2,0.33,0.33,0.5,1.2,1.2,0.5,1.2,1.2,0.33,0.33,1534.3,1844.4,-310.10000000000014,0.14367710131477723,37,20,-17,0.5111229220413707,0.2579050770888828,0.2291307337044784,0.99,1.32,-0.33000000000000007,1.21,1.07,0.1399999999999999,52.0,50.7,24.5,26.1,137.3,214.4,-77.1,46.2,41.2,5.0,2000
2000-01-09 19:03:48.342650865,Portugal,Chile,1,1,Friendly,False,1922.3,1402.7,50,115.0,3389.0,14,14,1,0,0,0,D,1,0.5,1.2,1.2,0.5,1.2,1.2,0.33,0.33,0.5,1.2,1.2,0.5,1.2,1.2,0.33,0.33,1922.3,1402.7,519.5999999999999,0.952168520000143,1,47,46,0.5111229220413707,0.2579050770888828,0.2291307337044784,1.7,1.1,0.5999999999999999,0.72,1.11,-0.3900000000000001,55.5,47.3,26.8,26.7,357.2,57.8,299.4,56.6,39.9,16.700000000000003,2000
