,0
elo_diff,0.06474418
elo_home_win_prob,0.06094034
fifa_rank_diff,0.048465643
diff_squad_market_value_meur,0.038094662
is_knockout,0.023596315
diff_xg_per_game,0.02344147
mkt_draw_prob,0.023151774
mkt_home_prob,0.021882305
diff_avg_caps,0.021548033
away_xga_per_game,0.020908214
home_elo_pre,0.020850036
away_ga_10,0.020670354
away_rest_days,0.020608721
away_form_5,0.020591486
away_h2h_wr_10,0.020531846
away_elo_pre,0.020488923
home_xga_per_game,0.020400226
away_h2h_wr_5,0.020377764
home_gf_5,0.020331386
home_form_10,0.020198224
away_xg_per_game,0.020109184
home_h2h_wr_10,0.019980649
venue_altitude_m,0.019922873
home_gf_10,0.019889813
home_form_5,0.019839222
home_travel_km,0.019829094
away_fifa_rank,0.019779546
mkt_away_prob,0.01970772
away_travel_km,0.019342361
home_fifa_rank,0.019297402
away_possession_pct,0.01926821
home_possession_pct,0.01925929
home_ga_10,0.019156866
tournament_weight,0.019018583
home_rest_days,0.019001694
away_form_10,0.018946854
away_gf_5,0.01889854
home_xg_per_game,0.018880483
away_gf_10,0.018632479
away_ga_5,0.018358124
home_ga_5,0.018333603
is_world_cup,0.018218767
home_h2h_wr_5,0.017682493
is_neutral,0.0068242764
