group,team,p_1st,p_2nd,p_3rd,p_4th,p_advance
A,Mexico,0.582,0.247,0.12,0.051,0.83
A,South Korea,0.252,0.372,0.237,0.138,0.625
A,Czechia,0.099,0.207,0.324,0.37,0.306
A,South Africa,0.067,0.173,0.319,0.442,0.24
B,Switzerland,0.485,0.302,0.146,0.066,0.787
B,Canada,0.356,0.372,0.19,0.082,0.728
B,Bosnia and Herzegovina,0.102,0.197,0.361,0.34,0.299
B,Qatar,0.056,0.129,0.302,0.512,0.185
C,Brazil,0.64,0.241,0.093,0.026,0.881
C,Morocco,0.259,0.451,0.212,0.079,0.71
C,Scotland,0.077,0.214,0.444,0.265,0.291
C,Haiti,0.025,0.094,0.251,0.63,0.119
D,United States,0.548,0.252,0.134,0.066,0.8
D,Australia,0.178,0.28,0.287,0.255,0.458
D,Turkey,0.164,0.262,0.286,0.288,0.426
D,Paraguay,0.11,0.206,0.292,0.392,0.316
E,Germany,0.688,0.208,0.079,0.025,0.896
E,Ecuador,0.179,0.402,0.273,0.146,0.581
E,Ivory Coast,0.097,0.268,0.398,0.236,0.365
E,Curaçao,0.035,0.122,0.249,0.593,0.157
F,Netherlands,0.549,0.283,0.124,0.044,0.831
F,Japan,0.307,0.363,0.223,0.107,0.67
F,Sweden,0.101,0.227,0.365,0.308,0.328
F,Tunisia,0.043,0.128,0.288,0.541,0.171
G,Belgium,0.693,0.207,0.075,0.025,0.9
G,Egypt,0.145,0.356,0.339,0.16,0.501
G,Iran,0.137,0.34,0.353,0.171,0.477
G,New Zealand,0.025,0.097,0.233,0.644,0.122
H,Spain,0.656,0.229,0.084,0.031,0.885
H,Uruguay,0.221,0.415,0.242,0.122,0.636
H,Saudi Arabia,0.084,0.231,0.408,0.277,0.315
H,Cabo Verde,0.04,0.125,0.265,0.57,0.164
I,France,0.647,0.232,0.09,0.031,0.878
I,Norway,0.2,0.376,0.274,0.149,0.577
I,Senegal,0.116,0.282,0.373,0.229,0.398
I,Iraq,0.037,0.11,0.262,0.591,0.147
J,Argentina,0.674,0.226,0.078,0.022,0.899
J,Austria,0.221,0.46,0.22,0.099,0.681
J,Algeria,0.058,0.16,0.336,0.446,0.218
J,Jordan,0.047,0.154,0.366,0.433,0.202
K,Portugal,0.659,0.227,0.085,0.029,0.886
K,Colombia,0.217,0.424,0.243,0.116,0.641
K,Uzbekistan,0.09,0.231,0.413,0.265,0.321
K,DR Congo,0.033,0.118,0.259,0.59,0.151
L,England,0.643,0.245,0.085,0.028,0.888
L,Croatia,0.244,0.435,0.233,0.087,0.679
L,Ghana,0.091,0.233,0.45,0.226,0.324
L,Panama,0.022,0.087,0.232,0.659,0.109
