team,win_probability,wins
Spain,0.1726,863
France,0.1564,782
Argentina,0.1446,723
Brazil,0.119,595
Portugal,0.058,290
England,0.0568,284
Germany,0.0382,191
Netherlands,0.0354,177
Morocco,0.0352,176
Switzerland,0.0318,159
Mexico,0.022,110
Croatia,0.0218,109
Belgium,0.0214,107
United States,0.0142,71
Japan,0.0112,56
Colombia,0.01,50
Senegal,0.0094,47
South Korea,0.008,40
Turkey,0.0064,32
Australia,0.0048,24
Ecuador,0.0042,21
Nigeria,0.0036,18
Canada,0.0026,13
Iran,0.0022,11
Egypt,0.0018,9
Ivory Coast,0.0014,7
Paraguay,0.0014,7
South Africa,0.0012,6
Czechia,0.0008,4
Algeria,0.0008,4
Scotland,0.0008,4
Ghana,0.0006,3
Saudi Arabia,0.0004,2
Bolivia,0.0004,2
Indonesia,0.0002,1
Slovakia,0.0002,1
Venezuela,0.0002,1
Haiti,0.0,0
Bosnia and Herzegovina,0.0,0
Qatar,0.0,0
Chile,0.0,0
Cuba,0.0,0
Jordan,0.0,0
Kenya,0.0,0
New Zealand,0.0,0
Costa Rica,0.0,0
Honduras,0.0,0
Panama,0.0,0
